case_id,title,symptom,topology_notes,show_outputs,expected_fault,osi_layer,concept,severity
1,Wrong VLAN Assignment on Access Port,"PC1 in Sales cannot communicate with other Sales PCs on VLAN 10. PC1 has correct IP 10.10.10.5/24 but cannot ping 10.10.10.1 (gateway).","Topology: PC1 -> Fa0/1 on SW1 -> Trunk to SW2. Sales VLAN is VLAN 10. PC1 should be on VLAN 10.","Switch#show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/7, Fa0/8
10   Sales                            active    Fa0/2, Fa0/3
20   Engineering                      active    Fa0/1, Fa0/4, Fa0/5
30   Servers                          active    Fa0/6

Switch#show interfaces fa0/1 switchport
Name: Fa0/1
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: native
Negotiation of Trunking: Off
Access Mode VLAN: 20 (Engineering)
Trunking Native Mode VLAN: 1 (default)",PC1 is assigned to VLAN 20 instead of VLAN 10,Layer 2,VLAN,High
2,Trunk Not Allowing Required VLAN,"VLAN 30 traffic is not passing between SW1 and SW2. Servers on VLAN 30 connected to SW2 cannot be reached from SW1.","Topology: SW1 (Fa0/24) -- Trunk -- (Fa0/24) SW2. VLAN 30 used for servers.","SW1#show interfaces trunk

Port        Mode             Encapsulation  Status        Native vlan
Fa0/24      on               802.1q         trunking      1

Port        Vlans allowed on trunk
Fa0/24      1,10,20

Port        Vlans allowed and active in management domain
Fa0/24      1,10,20

Port        Vlans in spanning tree forwarding state and not pruned
Fa0/24      1,10,20

SW1#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    
10   Sales                            active    Fa0/1, Fa0/2
20   Engineering                      active    Fa0/3, Fa0/4
30   Servers                          active    Fa0/5, Fa0/6",VLAN 30 is not allowed on the trunk link,Layer 2,VLAN,High
3,Incorrect Default Gateway on PC,"PC2 can ping other devices on its subnet (10.10.10.0/24) but cannot reach any other network. IP configuration appears correct.","Topology: PC2 (10.10.10.10/24) -> SW1 -> Router (10.10.10.1 on Gig0/0). Router is the default gateway for VLAN 10.","PC>ipconfig

FastEthernet0 Connection:(default port)

   Connection-specific DNS Suffix..: 
   Link-local IPv6 Address.........: FE80::2D0:97FF:FE12:3456
   IPv6 Address....................: ::
   IPv4 Address....................: 10.10.10.10
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 10.10.20.1

PC>ping 10.10.10.1

Pinging 10.10.10.1 with 32 bytes of data:

Reply from 10.10.10.1: bytes=32 time<1ms TTL=255
Reply from 10.10.10.1: bytes=32 time<1ms TTL=255

PC>ping 10.10.30.5

Pinging 10.10.30.5 with 32 bytes of data:

Request timed out.
Request timed out.",Default gateway 10.10.20.1 is not on the same subnet as PC2,Layer 3,Gateway,Medium
4,DHCP Pool Misconfiguration — Wrong Network,"PCs on VLAN 10 are not receiving IP addresses via DHCP. Manual IP assignment works fine.","Topology: Router R1 acts as DHCP server for VLAN 10 (10.10.10.0/24). R1 Gig0/0.10 is the VLAN 10 gateway at 10.10.10.1/24.","R1#show ip dhcp pool

Pool VLAN10 :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0 
 Total addresses                : 254
 Leased addresses               : 0
 Pending event                  : none
 1 subnet is currently in the pool :
 Current index        IP address range                    Leased addresses
 10.10.20.1           10.10.20.1     - 10.10.20.254      0

R1#show running-config | section dhcp
ip dhcp pool VLAN10
 network 10.10.20.0 255.255.255.0
 default-router 10.10.20.1
 dns-server 8.8.8.8

R1#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10  10.10.10.1      YES manual up                    up",DHCP pool configured with wrong network 10.10.20.0 instead of 10.10.10.0,Layer 7,DHCP,High
5,DHCP Excluded Address Covers Entire Pool,"No DHCP leases are being assigned. Pool exists and network is correct but no addresses given out.","Topology: R1 is DHCP server for 192.168.1.0/24. Gateway is 192.168.1.1.","R1#show ip dhcp pool

Pool LAN :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0 
 Total addresses                : 254
 Leased addresses               : 0
 Pending event                  : none
 1 subnet is currently in the pool :
 Current index        IP address range                    Leased addresses
 192.168.1.1          192.168.1.1     - 192.168.1.254     0

R1#show running-config | section dhcp
ip dhcp excluded-address 192.168.1.1 192.168.1.254
ip dhcp pool LAN
 network 192.168.1.0 255.255.255.0
 default-router 192.168.1.1
 dns-server 8.8.8.8

R1#show ip dhcp binding
Bindings from all pools not associated with VRF:
IP address          Client-ID/              Lease expiration        Type       State      Interface
                    Hardware address/
                    User name",All addresses excluded from DHCP pool,Layer 7,DHCP,High
6,DNS Server Not Configured on DHCP,"PCs receive IP addresses via DHCP but cannot resolve hostnames. Direct IP connectivity works.","Topology: R1 DHCP server for VLAN 10. DNS should be 10.10.10.100.","R1#show running-config | section dhcp
ip dhcp pool VLAN10
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1

PC>ipconfig /all

FastEthernet0 Connection:(default port)

   Connection-specific DNS Suffix..: 
   IPv4 Address....................: 10.10.10.50
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 10.10.10.1
   DNS Servers.....................: 0.0.0.0

PC>ping 10.10.10.100
Reply from 10.10.10.100: bytes=32 time<1ms TTL=128

PC>ping www.example.com
Ping request could not find host www.example.com.",DNS server not configured in DHCP pool,Layer 7,DNS,Medium
7,Missing Static Route to Remote Network,"R1 can reach directly connected networks but packets to 172.16.0.0/16 are dropped. R2 has the destination network.","Topology: R1 (10.0.0.1/30) -- Serial -- (10.0.0.2/30) R2 -- (172.16.0.0/16). R2 has a route back to R1.","R1#show ip route
Gateway of last resort is not set

     10.0.0.0/8 is variably subnetted, 4 subnets, 2 masks
C       10.0.0.0/30 is directly connected, Serial0/0/0
L       10.0.0.1/32 is directly connected, Serial0/0/0
C       10.10.10.0/24 is directly connected, GigabitEthernet0/0
L       10.10.10.1/32 is directly connected, GigabitEthernet0/0

R1#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.10.10.1      YES manual up                    up
Serial0/0/0            10.0.0.1        YES manual up                    up

R1#ping 172.16.0.1
Type escape sequence to abort.
Sending 5, 100-byte ICMP Echos to 172.16.0.1, timeout is 2 seconds:
.....
Success rate is 0 percent (0/5)",No route to 172.16.0.0/16 on R1,Layer 3,Routing,High
8,OSPF Neighbor Not Forming,"R1 and R2 are configured for OSPF but adjacency is not forming. Both interfaces are up.","Topology: R1 (10.0.0.1/30) -- Ethernet -- (10.0.0.2/30) R2. Both run OSPF area 0.","R1#show ip ospf neighbor

R1#show ip ospf interface gig0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet Address 10.0.0.1/30, Area 0
  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1
  Transmit Delay is 1 sec, State DR, Priority 1
  Hello 10, Dead 40, Wait 40, Retransmit 5

R2#show ip ospf interface gig0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet Address 10.0.0.2/30, Area 1
  Process ID 1, Router ID 2.2.2.2, Network Type BROADCAST, Cost: 1
  Transmit Delay is 1 sec, State DR, Priority 1
  Hello 10, Dead 40, Wait 40, Retransmit 5",OSPF area mismatch between R1 (area 0) and R2 (area 1),Layer 3,Routing,Critical
9,ACL Blocking HTTP Traffic,"Users on 10.10.10.0/24 cannot access the web server at 10.10.30.100. Ping works. Other traffic works.","Topology: R1 routes between VLAN 10 (users) and VLAN 30 (servers). ACL applied on R1.","R1#show access-lists
Extended IP access list 101
    10 deny   tcp 10.10.10.0 0.0.0.255 host 10.10.30.100 eq www (45 matches)
    20 permit ip any any (1023 matches)

R1#show ip interface gig0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 10.10.10.1/24
  Outgoing access list is not set
  Inbound access list is 101

R1#ping 10.10.30.100
Type escape sequence to abort.
!!!!!
Success rate is 100 percent (5/5)",ACL 101 explicitly denies HTTP (tcp port 80) from users to server,Layer 4,ACL,High
10,NAT Inside/Outside Interface Misconfiguration,"Internal hosts cannot access the internet. NAT is configured but not translating.","Topology: R1 Gig0/0 (inside 192.168.1.1/24) -- R1 Gig0/1 (outside 203.0.113.1/24) -- Internet.","R1#show ip nat translations

R1#show ip nat statistics
Total active translations: 0
Outside interfaces:
Inside interfaces:

R1#show running-config | section nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload
access-list 1 permit 192.168.1.0 0.0.0.255

R1#show ip interface gig0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 192.168.1.1/24

R1#show ip interface gig0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet address is 203.0.113.1/24",NAT inside and outside interfaces not configured (ip nat inside/outside missing),Layer 3,NAT,High
